Loan_ID,Gender,Marital_Status,Dependents,Graduate,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LI0258,Male,Single,0,Yes,,2980,2083,120,360,1,Rural,Y
LI0259,Male,Married,0,Yes,No,4583,5625,255,360,1,Semiurban,Y
LI0260,Male,Married,0,No,No,1863,1041,98,360,1,Semiurban,Y
LI0261,Male,Married,0,Yes,No,7933,0,275,360,1,Urban,N
LI0262,Male,Married,1,Yes,No,3089,1280,121,360,0,Semiurban,N
LI0263,Male,Married,2,Yes,No,4167,1447,158,360,1,Rural,Y
LI0264,Male,Married,0,Yes,No,9323,0,75,180,1,Urban,Y
LI0265,Male,Married,0,Yes,No,3707,3166,182,,1,Rural,Y
LI0266,Female,Married,0,Yes,No,4583,0,112,360,1,Rural,N
LI0267,Male,Married,0,Yes,No,2439,3333,129,360,1,Rural,Y
LI0268,Male,Single,0,Yes,No,2237,0,63,480,0,Semiurban,N
LI0269,Male,Married,2,Yes,No,8000,0,200,360,1,Semiurban,Y
LI0270,Male,Married,0,No,,1820,1769,95,360,1,Rural,Y
LI0271,,Married,3+,Yes,No,51763,0,700,300,1,Urban,Y
LI0272,Male,Married,3+,No,No,3522,0,81,180,1,Rural,N
LI0273,Male,Married,0,Yes,No,5708,5625,187,360,1,Semiurban,Y
LI0274,Male,Married,0,No,Yes,4344,736,87,360,1,Semiurban,N
LI0275,Male,Married,0,Yes,No,3497,1964,116,360,1,Rural,Y
LI0276,Male,Married,2,Yes,No,2045,1619,101,360,1,Rural,Y
LI0277,Male,Married,3+,Yes,No,5516,11300,495,360,0,Semiurban,N
LI0278,Male,Married,1,Yes,No,3750,0,116,360,1,Semiurban,Y
LI0279,Male,Single,0,No,No,2333,1451,102,480,0,Urban,N
LI0280,Male,Married,1,Yes,No,6400,7250,180,360,0,Urban,N
LI0281,Male,Single,0,Yes,No,1916,5063,67,360,,Rural,N
LI0282,Male,Married,0,Yes,No,4600,0,73,180,1,Semiurban,Y
LI0283,Male,Married,1,Yes,No,33846,0,260,360,1,Semiurban,N
LI0284,Female,Married,0,Yes,No,3625,0,108,360,1,Semiurban,Y
LI0285,Male,Married,0,Yes,Yes,39147,4750,120,360,1,Semiurban,Y
LI0286,Male,Married,1,Yes,Yes,2178,0,66,300,0,Rural,N
LI0287,Male,Married,0,Yes,No,2383,2138,58,360,,Rural,Y
LI0288,,Married,0,Yes,Yes,674,5296,168,360,1,Rural,Y
LI0289,Male,Married,0,Yes,No,9328,0,188,180,1,Rural,Y
LI0290,Male,Single,0,No,No,4885,0,48,360,1,Rural,Y
LI0291,Male,Single,0,Yes,No,12000,0,164,360,1,Semiurban,N
LI0292,Male,Married,0,No,No,6033,0,160,360,1,Urban,N
LI0293,Male,Single,0,Yes,No,3858,0,76,360,1,Semiurban,Y
LI0294,Male,Single,0,Yes,No,4191,0,120,360,1,Rural,Y
LI0295,Male,Married,1,Yes,No,3125,2583,170,360,1,Semiurban,N
LI0296,Male,Single,0,Yes,No,8333,3750,187,360,1,Rural,Y
LI0297,Female,Single,0,No,No,1907,2365,120,,1,Urban,Y
LI0298,Female,Married,0,Yes,No,3416,2816,113,360,,Semiurban,Y
LI0299,Male,Single,0,Yes,Yes,11000,0,83,360,1,Urban,N
LI0300,Male,Married,1,No,No,2600,2500,90,360,1,Semiurban,Y
LI0301,Male,Single,2,Yes,No,4923,0,166,360,0,Semiurban,Y
LI0302,Male,Married,3+,No,No,3992,0,,180,1,Urban,N
LI0303,Male,Married,1,No,No,3500,1083,135,360,1,Urban,Y
LI0304,Male,Married,2,No,No,3917,0,124,360,1,Semiurban,Y
LI0305,Female,Single,0,No,No,4408,0,120,360,1,Semiurban,Y
LI0306,Female,Single,0,Yes,No,3244,0,80,360,1,Urban,Y
LI0307,Male,Single,0,No,No,3975,2531,55,360,1,Rural,Y
LI0308,Male,Single,0,Yes,No,2479,0,59,360,1,Urban,Y
LI0309,Male,Single,0,Yes,No,3418,0,127,360,1,Semiurban,N
LI0310,Female,Single,0,Yes,No,10000,0,214,360,1,Semiurban,N
LI0311,Male,Married,3+,Yes,No,3430,1250,128,360,0,Semiurban,N
LI0312,Male,Married,1,Yes,Yes,7787,0,240,360,1,Urban,Y
LI0313,Male,Married,3+,No,Yes,5703,0,130,360,1,Rural,Y
LI0314,Male,Married,0,Yes,No,3173,3021,137,360,1,Urban,Y
LI0315,Male,Married,3+,No,No,3850,983,100,360,1,Semiurban,Y
LI0316,Male,Married,0,Yes,No,150,1800,135,360,1,Rural,N
LI0317,Male,Married,0,Yes,No,3727,1775,131,360,1,Semiurban,Y
LI0318,Male,Married,2,Yes,,5000,0,72,360,0,Semiurban,N
LI0319,Female,Married,2,Yes,No,4283,2383,127,360,,Semiurban,Y
LI0320,Male,Married,0,Yes,No,2221,0,60,360,0,Urban,N
LI0321,Male,Married,2,Yes,No,4009,1717,116,360,1,Semiurban,Y
LI0322,Male,Single,0,Yes,No,2971,2791,144,360,1,Semiurban,Y
LI0323,Male,Married,0,Yes,No,7578,1010,175,,1,Semiurban,Y
LI0324,Male,Married,0,Yes,No,6250,0,128,360,1,Semiurban,Y
LI0325,Male,Married,0,Yes,No,3250,0,170,360,1,Rural,N
LI0326,Male,Married,,No,Yes,4735,0,138,360,1,Urban,N
LI0327,Male,Married,2,Yes,No,6250,1695,210,360,1,Semiurban,Y
LI0328,Male,,,Yes,No,4758,0,158,480,1,Semiurban,Y
LI0329,Male,Single,0,Yes,Yes,6400,0,200,360,1,Rural,Y
LI0330,Male,Married,1,Yes,No,2491,2054,104,360,1,Semiurban,Y
LI0331,Male,Married,0,Yes,,3716,0,42,180,1,Rural,Y
LI0332,Male,Single,0,No,No,3189,2598,120,,1,Rural,Y
LI0333,Female,Single,0,Yes,No,8333,0,280,360,1,Semiurban,Y
LI0334,Male,Married,1,Yes,No,3155,1779,140,360,1,Semiurban,Y
LI0335,Male,Married,1,Yes,No,5500,1260,170,360,1,Rural,Y
LI0336,Male,Married,0,Yes,,5746,0,255,360,,Urban,N
LI0337,Female,Single,0,Yes,Yes,3463,0,122,360,,Urban,Y
LI0338,Female,Single,1,Yes,No,3812,0,112,360,1,Rural,Y
LI0339,Male,Married,1,Yes,No,3315,0,96,360,1,Semiurban,Y
LI0340,Male,Married,2,Yes,No,5819,5000,120,360,1,Rural,Y
LI0341,Male,Married,1,No,No,2510,1983,140,180,1,Urban,N
LI0342,Male,Single,0,Yes,No,2965,5701,155,60,1,Urban,Y
LI0343,Male,Married,2,Yes,Yes,6250,1300,108,360,1,Rural,Y
LI0344,Male,Married,0,No,No,3406,4417,123,360,1,Semiurban,Y
LI0345,Male,Single,0,Yes,Yes,6050,4333,120,180,1,Urban,N
LI0346,Male,Married,2,Yes,No,9703,0,112,360,1,Urban,Y
LI0347,Male,Married,1,No,No,6608,0,137,180,1,Urban,Y
LI0348,Male,Married,1,Yes,No,2882,1843,123,480,1,Semiurban,Y
LI0349,Male,Married,0,Yes,No,1809,1868,90,360,1,Urban,Y
LI0350,Male,Married,0,No,No,1668,3890,201,360,0,Semiurban,N
LI0351,Female,Single,2,Yes,No,3427,0,138,360,1,Urban,N
LI0352,Male,Single,0,No,Yes,2583,2167,104,360,1,Rural,Y
LI0353,Male,Married,1,No,No,2661,7101,279,180,1,Semiurban,Y
LI0354,Male,Single,0,Yes,Yes,16250,0,192,360,0,Urban,N
LI0355,Female,Single,3+,Yes,No,3083,0,255,360,1,Rural,Y
LI0356,Male,Single,0,No,No,6045,0,115,360,0,Rural,N
LI0357,Male,Married,3+,Yes,No,5250,0,94,360,1,Urban,N
LI0358,Male,Married,0,Yes,No,14683,2100,304,360,1,Rural,N
LI0359,Male,Married,3+,No,No,4931,0,128,360,,Semiurban,N
LI0360,Male,Married,1,Yes,No,6083,4250,330,360,,Urban,Y
LI0361,Male,Single,0,Yes,No,2060,2209,134,360,1,Semiurban,Y
LI0362,Female,Single,1,Yes,No,3481,0,155,36,1,Semiurban,N
LI0363,Female,Single,0,Yes,No,7200,0,120,360,1,Rural,Y
LI0364,Male,Single,0,Yes,Yes,5166,0,128,360,1,Semiurban,Y
LI0365,Male,Single,0,Yes,No,4095,3447,151,360,1,Rural,Y
LI0366,Male,Married,2,Yes,No,4708,1387,150,360,1,Semiurban,Y
LI0367,Male,Married,3+,Yes,No,4333,1811,160,360,0,Urban,Y
LI0368,Female,Single,0,Yes,,3418,0,135,360,1,Rural,N
LI0369,Female,Single,1,Yes,No,2876,1560,90,360,1,Urban,Y
LI0370,Female,Single,0,Yes,No,3237,0,30,360,1,Urban,Y
LI0371,Male,Married,0,Yes,No,11146,0,136,360,1,Urban,Y
LI0372,Male,Single,0,Yes,No,2833,1857,126,360,1,Rural,Y
LI0373,Male,Married,0,Yes,No,2620,2223,150,360,1,Semiurban,Y
LI0374,Male,Married,2,Yes,No,3900,0,90,360,1,Semiurban,Y
LI0375,Male,Married,1,Yes,No,2750,1842,115,360,1,Semiurban,Y
LI0376,Male,Married,0,Yes,No,3993,3274,207,360,1,Semiurban,Y
LI0377,Male,Married,0,Yes,No,3103,1300,80,360,1,Urban,Y
LI0378,Male,Married,0,Yes,No,14583,0,436,360,1,Semiurban,Y
LI0379,Female,Married,0,No,No,4100,0,124,360,,Rural,Y
LI0380,Male,Single,1,No,Yes,4053,2426,158,360,0,Urban,N
LI0381,Male,Married,0,Yes,No,3927,800,112,360,1,Semiurban,Y
LI0382,Male,Married,2,Yes,No,2301,985.7999878,78,180,1,Urban,Y
LI0383,Female,Single,0,Yes,No,1811,1666,54,360,1,Urban,Y
LI0384,Male,Married,0,Yes,No,20667,0,,360,1,Rural,N
LI0385,Male,Single,0,Yes,No,3158,3053,89,360,1,Rural,Y
LI0386,Female,Single,0,Yes,Yes,2600,1717,99,300,1,Semiurban,N
LI0387,Male,Married,0,Yes,No,3704,2000,120,360,1,Rural,Y
LI0388,Female,Single,0,Yes,No,4124,0,115,360,1,Semiurban,Y
LI0389,Male,Single,0,Yes,No,9508,0,187,360,1,Rural,Y
LI0390,Male,Married,0,Yes,No,3075,2416,139,360,1,Rural,Y
LI0391,Male,Married,2,Yes,No,4400,0,127,360,0,Semiurban,N
LI0392,Male,Married,2,Yes,No,3153,1560,134,360,1,Urban,Y
LI0393,Female,Single,,Yes,No,5417,0,143,480,0,Urban,N
LI0394,Male,Married,0,Yes,No,2383,3334,172,360,1,Semiurban,Y
LI0395,Male,Married,3+,Yes,,4416,1250,110,360,1,Urban,Y
LI0396,Male,Married,1,Yes,No,6875,0,200,360,1,Semiurban,Y
LI0397,Female,Married,1,Yes,No,4666,0,135,360,1,Urban,Y
LI0398,Female,Single,0,Yes,No,5000,2541,151,480,1,Rural,N
LI0399,Male,Married,1,Yes,No,2014,2925,113,360,1,Urban,N
LI0400,Male,Married,0,No,No,1800,2934,93,360,0,Urban,N
LI0401,Male,Married,,No,No,2875,1750,105,360,1,Semiurban,Y
LI0402,Female,Single,0,Yes,No,5000,0,132,360,1,Rural,Y
LI0403,Male,Married,1,Yes,No,1625,1803,96,360,1,Urban,Y
LI0404,Male,Single,0,Yes,No,4000,2500,140,360,1,Rural,Y
LI0405,Male,Single,0,No,No,2000,0,,360,1,Urban,N
LI0406,Female,Single,0,Yes,No,3762,1666,135,360,1,Rural,Y
LI0407,Female,Single,0,Yes,No,2400,1863,104,360,0,Urban,N
LI0408,Male,Single,0,Yes,No,20233,0,480,360,1,Rural,N
LI0409,Male,Married,2,No,No,7667,0,185,360,,Rural,Y
LI0410,Female,Single,0,Yes,No,2917,0,84,360,1,Semiurban,Y
LI0411,Male,Single,0,No,No,2927,2405,111,360,1,Semiurban,Y
LI0412,Female,Single,0,Yes,No,2507,0,56,360,1,Rural,Y
LI0413,Male,Married,2,Yes,Yes,5746,0,144,84,,Rural,Y
LI0414,,Married,0,Yes,No,2473,1843,159,360,1,Rural,N
LI0415,Male,Married,1,No,No,3399,1640,111,180,1,Urban,Y
LI0416,Male,Married,2,Yes,No,3717,0,120,360,1,Semiurban,Y
LI0417,Male,Married,0,Yes,No,2058,2134,88,360,,Urban,Y
LI0418,Female,Single,1,Yes,No,3541,0,112,360,,Semiurban,Y
LI0419,Male,Married,1,Yes,Yes,10000,0,155,360,1,Rural,N
LI0420,Male,Married,0,Yes,No,2400,2167,115,360,1,Semiurban,Y
LI0421,Male,Married,3+,Yes,No,4342,189,124,360,1,Semiurban,Y
LI0422,Male,Married,2,No,No,3601,1590,,360,1,Rural,Y
LI0423,Female,Single,0,Yes,No,3166,2985,132,360,,Rural,Y
LI0424,Male,Married,3+,Yes,No,15000,0,300,360,1,Rural,Y
LI0425,Male,Married,1,Yes,Yes,8666,4983,376,360,0,Rural,N
LI0426,Male,Single,0,Yes,No,4917,0,130,360,0,Rural,Y
LI0427,Male,Married,0,Yes,Yes,5818,2160,184,360,1,Semiurban,Y
LI0428,Female,Married,0,Yes,No,4333,2451,110,360,1,Urban,N
LI0429,Female,Single,0,Yes,No,2500,0,67,360,1,Urban,Y
LI0430,Male,Single,1,Yes,No,4384,1793,117,360,1,Urban,Y
LI0431,Male,Single,0,Yes,No,2935,0,98,360,1,Semiurban,Y
LI0432,Male,Single,,Yes,No,2833,0,71,360,1,Urban,Y
LI0433,Male,Married,0,Yes,,63337,0,490,180,1,Urban,Y
LI0434,,Married,1,Yes,Yes,9833,1833,182,180,1,Urban,Y
LI0435,Male,Married,,Yes,Yes,5503,4490,70,,1,Semiurban,Y
LI0436,Male,Married,1,Yes,,5250,688,160,360,1,Rural,Y
LI0437,Male,Married,2,Yes,Yes,2500,4600,176,360,1,Rural,Y
LI0438,Female,Single,3+,No,No,1830,0,,360,0,Urban,N
LI0439,Female,Single,0,Yes,No,4160,0,71,360,1,Semiurban,Y
LI0440,Male,Married,3+,No,No,2647,1587,173,360,1,Rural,N
LI0441,Female,Single,0,Yes,No,2378,0,46,360,1,Rural,N
LI0442,Male,Married,1,No,No,4554,1229,158,360,1,Urban,Y
LI0443,Male,Married,3+,No,No,3173,0,74,360,1,Semiurban,Y
LI0444,Male,Married,2,Yes,,2583,2330,125,360,1,Rural,Y
LI0445,Male,Married,0,Yes,No,2499,2458,160,360,1,Semiurban,Y
LI0446,Male,Married,,No,No,3523,3230,152,360,0,Rural,N
LI0447,Male,Married,2,No,No,3083,2168,126,360,1,Urban,Y
LI0448,Male,Married,0,Yes,No,6333,4583,259,360,,Semiurban,Y
LI0449,Male,Married,0,Yes,No,2625,6250,187,360,1,Rural,Y
LI0450,Male,Married,0,Yes,No,9083,0,228,360,1,Semiurban,Y
LI0451,Male,Single,0,Yes,No,8750,4167,308,360,1,Rural,N
LI0452,Male,Married,3+,Yes,No,2666,2083,95,360,1,Rural,Y
LI0453,Female,Married,0,Yes,Yes,5500,0,105,360,0,Rural,N
LI0454,Female,Married,0,Yes,No,2423,505,130,360,1,Semiurban,Y
LI0455,Female,Single,,Yes,No,3813,0,116,180,1,Urban,Y
LI0456,Male,Married,2,Yes,No,8333,3167,165,360,1,Rural,Y
LI0457,Male,Married,1,Yes,No,3875,0,67,360,1,Urban,N
LI0458,Male,Married,0,No,No,3000,1666,100,480,0,Urban,N
LI0459,Male,Married,3+,Yes,No,5167,3167,200,360,1,Semiurban,Y
LI0460,Female,Single,1,Yes,No,4723,0,81,360,1,Semiurban,N
LI0461,Male,Married,2,Yes,No,5000,3667,236,360,1,Semiurban,Y
LI0462,Male,Married,0,Yes,No,4750,2333,130,360,1,Urban,Y
LI0463,Male,Married,0,Yes,No,3013,3033,95,300,,Urban,Y
LI0464,Male,Single,0,Yes,Yes,6822,0,141,360,1,Rural,Y
LI0465,Male,Single,0,No,No,6216,0,133,360,1,Rural,N
LI0466,Male,Single,0,Yes,No,2500,0,96,480,1,Semiurban,N
